ID,var_rpta_alt,Prob_uno
294778#726378#353964,0,0.08
473044#976763#103579,0,0.29
188225#36385#1068670,0,0.14
298543#884929#195413,1,0.99
511918#400103#679805,1,0.99
308912#535955#544387,1,0.99
416891#368091#711771,1,0.97
548393#410808#669116,1,0.98
111627#962292#118050,1,0.12
28531#198647#889616,0,0.13
311904#490283#590059,0,0.07
54839#777816#302526,0,0.55
232976#728799#351543,1,0.98
349448#263665#819322,0,0.11
274972#750424#329918,1,0.99
337324#1054917#25425,1,0.34
525974#539438#540904,0,0.24
309606#1059331#21011,0,0.25
493870#923948#156394,1,0.61
82245#292305#790761,1,0.99
433532#397017#682885,1,1.0
403512#830316#250026,0,0.09
597179#772018#308324,0,0.09
564713#901809#178533,0,0.17
92583#338947#741698,0,0.07
42219#898031#182311,1,1.0
182561#850266#230076,0,0.24
324592#107802#979993,0,0.09
283169#252060#830948,1,0.96
494745#555737#524605,0,0.17
275955#779714#300628,1,0.99
175466#108149#979647,1,0.93
300610#991038#89304,1,1.0
364040#592149#488193,0,0.35
595790#246400#836596,0,0.11
222136#833959#246383,1,0.99
543675#163381#924739,0,0.71
336091#908416#171926,0,0.06
476464#52786#1052167,0,0.11
105055#160983#927125,0,0.13
134713#967943#112399,0,0.32
188198#281661#801388,0,0.0
39983#427520#652464,0,0.03
518069#690883#389459,1,0.96
593480#1009546#70796,1,0.97
232801#560488#519854,1,1.0
249627#264915#818075,1,0.89
388421#312366#770778,1,1.0
559165#870168#210174,0,0.03
32581#998197#82145,1,0.9
25352#722967#357375,1,1.0
218765#994957#85385,1,0.28
429250#955287#125055,0,0.68
552805#802424#277918,0,0.19
245503#652426#427916,1,0.99
246810#439727#640578,0,0.02
121102#290184#792872,1,0.97
13133#1048321#32021,0,0.02
89544#647932#432410,0,0.23
8858#974369#105973,1,0.99
230593#746189#334153,0,0.11
254538#101806#985964,1,0.79
1843#678606#401736,0,0.13
80546#135293#952796,0,0.04
325104#218364#864408,1,1.0
474564#166831#921293,1,0.98
324431#73801#1031251,1,0.97
477357#1024919#55423,0,0.08
154076#1075121#5221,1,0.72
290860#134098#953926,0,0.59
405467#801696#278646,1,0.98
196799#789911#290431,0,0.15
119713#373398#706454,0,0.06
73875#706076#374266,0,0.23
206821#892855#187487,0,0.2
581537#421716#658269,1,1.0
433959#301235#781879,1,1.0
160719#462249#618086,1,0.75
97848#1020838#59504,1,1.0
184359#417668#662328,0,0.06
150787#427029#652953,1,0.97
477251#478380#601962,0,0.31
376519#168350#919782,0,0.01
458014#108062#979731,0,0.2
251638#283552#799503,1,0.12
315888#1033776#46566,0,0.08
239397#1016261#64081,1,0.34
120449#216244#866527,1,0.97
488002#1011914#68428,1,1.0
27820#1001942#78400,1,1.0
571674#262130#820852,1,1.0
567054#54450#1050498,0,0.27
284994#900820#179522,1,0.04
265748#451055#629305,0,0.06
259875#715788#364554,1,1.0
607172#1009215#71127,0,0.11
518647#1025386#54956,0,0.04
145142#972261#108081,0,0.49
203142#494631#585711,0,0.12
561597#401822#678092,0,0.38
209698#339746#740901,0,0.06
520029#790692#289650,0,0.15
330395#355364#724502,1,0.84
617249#89183#1016124,1,1.0
331345#950526#129816,1,0.12
233540#905989#174353,1,0.99
529163#1040852#39490,1,0.98
544239#369726#710129,1,1.0
624100#572038#508304,0,0.32
474070#949188#131154,0,0.15
190406#1040647#39695,0,0.25
129546#101794#985977,0,0.1
2211#204356#880899,0,0.2
434149#424848#655129,1,0.82
281168#82067#1023179,0,0.17
453320#898226#182116,0,0.02
78170#1017884#62458,0,0.09
210406#523516#556826,1,0.98
267948#601268#479074,1,0.98
509075#69061#1035985,1,0.98
492658#383268#696583,0,0.31
78402#331112#749448,0,0.36
260444#742461#337881,0,0.11
282647#851348#228994,1,0.73
13893#797611#282731,0,0.25
6687#464051#616291,0,0.06
566112#1034347#45995,0,0.16
494567#660456#419886,0,0.38
156442#871551#208791,0,0.05
466849#174993#913115,0,0.01
114871#353194#726674,1,0.15
108731#1031805#48537,1,0.97
299903#972329#108013,0,0.2
203142#494684#585658,0,0.44
608695#447928#632426,1,1.0
471105#871980#208362,1,0.2
483321#606820#473522,0,0.06
118600#146636#941455,0,0.11
318785#260112#822867,1,1.0
465185#140721#947387,0,0.9
264399#797848#282494,1,0.98
67941#281531#801517,1,0.96
263553#692981#387361,0,0.35
272648#563225#517117,0,0.15
377547#834603#245739,1,0.35
37094#620681#459661,1,1.0
299082#1001868#78474,0,0.21
348774#387692#692162,1,0.97
410501#36110#1068940,1,1.0
379533#326742#756388,0,0.91
55186#241105#841917,1,0.63
232278#617738#462604,0,0.0
45427#782567#297775,0,0.08
136628#245101#837894,0,0.13
481664#631417#448925,1,0.38
5587#1069906#10436,1,0.99
125373#588848#491494,0,0.28
227039#854744#225598,1,0.99
577910#615730#464612,0,0.31
439925#131313#956538,1,1.0
552671#175424#912676,0,0.09
200662#464937#615405,0,0.31
392424#64159#1040840,0,0.56
570020#52423#1052525,1,0.73
260730#816689#263653,0,0.2
594421#543104#537238,0,0.31
348158#241775#841245,1,0.98
119955#557393#522949,1,1.0
513952#770968#309374,0,0.35
303347#563742#516600,1,0.99
129517#841105#239237,0,0.02
105192#386363#693486,0,0.06
380283#804526#275816,0,0.08
538357#1041337#39005,0,0.31
281984#534601#545741,0,0.21
156116#820804#259538,0,0.7
128016#778554#301788,0,0.16
78135#648393#431949,0,0.11
322662#1000974#79368,0,0.03
492358#807256#273086,1,0.98
72622#269063#813948,0,0.26
336665#875971#204371,0,0.03
531721#635233#445109,0,0.08
66515#475978#604364,1,0.87
200834#48270#1056553,0,0.03
414230#34541#1070498,0,0.34
102700#503669#576673,0,0.01
414473#952628#127714,1,0.99
560545#945873#134469,0,0.12
49649#41676#1063428,0,0.62
321202#57248#1047707,0,0.31
56250#952902#127440,0,0.0
328664#391414#688492,1,0.99
217702#1032469#47873,1,0.99
43316#236322#846602,0,0.04
473950#143198#944905,1,1.0
450706#312751#770390,1,0.19
95602#267495#815515,1,0.7
23778#574371#505971,0,0.09
150802#736477#343865,0,0.16
330563#394418#685495,0,0.02
198648#313746#769390,0,0.08
32463#309123#774000,1,0.98
76973#221652#861138,1,0.97
72351#586625#493717,0,0.17
436457#585833#494509,1,0.32
204986#284713#798340,1,0.84
405893#64389#1040615,0,0.01
368228#181602#906534,1,1.0
28099#705102#375240,1,0.53
24423#505675#574667,0,0.13
367179#196355#891903,0,0.2
422470#197128#891131,1,0.59
444188#116121#971695,0,0.29
257493#413589#666331,1,0.91
23750#963792#116550,0,0.03
204327#203308#881931,1,0.97
277072#813239#267103,0,0.04
483645#471234#609108,0,0.05
621449#72615#1032441,0,0.21
365259#198653#889610,0,0.21
225619#820412#259930,1,1.0
244878#108850#978948,1,0.98
363659#668779#411563,1,0.63
459418#714044#366298,1,0.9
495786#1049869#30473,0,0.06
427836#951320#129022,0,0.21
206497#54250#1050694,0,0.01
207775#376530#703323,1,0.04
112846#413157#666757,0,0.04
436047#480081#600261,0,0.35
489583#164248#923868,1,1.0
163508#1074972#5370,0,0.21
18656#878739#201603,0,0.06
583138#209293#873437,1,0.98
129521#434598#645579,1,1.0
540513#334568#746021,1,0.25
427664#145792#942304,1,0.99
193814#146451#941642,1,1.0
171559#673133#407209,0,0.08
538440#844952#235390,0,0.02
440493#248798#834206,0,0.07
125968#633812#446530,1,0.99
299796#753386#326956,0,0.35
562707#498683#581659,0,0.22
310338#669624#410718,0,0.1
570773#650466#429876,1,1.0
353993#884570#195772,0,0.15
542942#344554#736126,1,0.98
627777#592842#487500,1,0.99
84289#822890#257452,0,0.71
633071#496795#583547,1,1.0
154179#632190#448152,1,1.0
404408#986112#94230,0,0.18
355238#364532#715319,0,0.04
497470#50563#1054317,1,0.81
522004#944904#135438,0,0.19
149495#525927#554415,1,0.99
378259#225205#857603,1,0.6
408059#879024#201318,0,0.05
283403#778546#301796,0,0.16
360285#1049855#30487,1,0.82
135057#199454#888814,1,0.99
352711#230157#852677,1,0.99
560122#526422#553920,0,0.22
449229#50490#1054385,0,0.05
201772#473215#607127,0,0.04
228245#871237#209105,1,1.0
97375#1059525#20817,1,0.62
333820#880655#199687,0,0.09
140769#405959#673963,1,1.0
498656#13211#1008447,0,0.03
396970#876094#204248,0,0.05
148221#819337#261005,0,0.48
441377#722937#357405,1,1.0
593770#528959#551383,0,0.2
22383#565138#515204,0,0.3
160077#878662#201680,1,0.2
391153#1039719#40623,0,0.4
139739#241308#841715,0,0.22
487044#859870#220472,1,0.93
391308#606149#474193,1,0.38
28234#528549#551793,0,0.18
547930#671633#408709,0,0.09
363606#182919#905215,1,0.94
176631#769537#310805,1,0.26
538533#213410#869347,0,0.19
327789#950700#129642,1,0.98
435284#531482#548860,1,0.8
34560#41637#1063466,1,0.86
314409#21256#1079498,0,0.16
299674#668639#411703,0,0.01
490732#813054#267288,1,0.24
421982#56043#1048910,0,0.18
60069#570676#509666,0,0.02
194374#3074#1075182,0,0.01
67649#415046#664900,1,0.98
335893#969151#111191,0,0.38
428764#995332#85010,1,1.0
158511#1028695#51647,0,0.79
458843#645347#434995,1,1.0
232893#442525#637782,1,0.99
79801#848171#232171,0,0.05
105687#1031244#49098,0,0.2
296455#1031946#48396,1,0.99
264881#501744#578598,1,0.99
171136#527269#553073,1,0.38
84507#624498#455844,1,0.37
46517#945949#134393,1,0.7
592445#346665#734040,1,1.0
286#80488#1024742,0,0.17
246728#897987#182355,1,0.98
1506#608933#471409,0,0.28
416898#251538#831461,0,0.16
314348#26871#885880,0,0.01
194259#21948#1012422,1,0.99
80163#121106#966717,1,0.93
1078#34998#1070053,1,1.0
574277#136338#951759,0,0.08
481369#195981#892276,0,0.24
194512#749636#330706,0,0.16
517204#1044694#35648,1,0.99
591770#458966#621379,0,0.13
33854#8975#1076763,0,0.01
127191#905030#175312,1,1.0
627002#417160#662838,0,0.08
591273#368354#711508,0,0.16
76938#999684#80658,0,0.18
302363#336120#744533,1,0.74
383076#375773#697394,0,0.07
368240#626253#454089,1,1.0
71367#348850#731898,0,0.14
45379#303920#779184,1,0.99
87824#153467#934637,0,0.12
75324#1041138#39204,1,0.64
617708#489932#590410,0,0.26
71912#969593#110749,1,0.98
343930#416980#663014,1,0.25
331927#403627#676294,0,0.14
249497#499743#580599,0,0.24
189091#139133#948965,0,0.45
315009#17641#1077798,0,0.21
512012#167072#921054,1,1.0
241475#494254#586088,1,0.77
29181#937128#143214,0,0.04
54927#776930#303412,1,0.02
467553#354142#725719,1,0.94
523237#1025803#54539,1,1.0
284285#129654#958194,0,0.11
549305#258459#824529,0,0.1
305541#32185#749868,0,0.16
316052#6009#877603,1,0.94
549086#877724#202618,0,0.26
401880#470247#610095,1,1.0
254907#776317#304025,0,0.01
125296#123355#964469,0,0.49
73595#608182#472160,1,0.99
433307#1074376#5966,1,0.65
366292#322609#760530,0,0.11
75894#607881#472461,1,0.22
362649#381304#698548,0,0.1
60767#281829#801216,1,0.98
100300#737497#342845,0,0.05
3680#450378#629996,0,0.11
472989#824156#256186,0,0.22
140756#136908#951195,0,0.23
495083#285267#797792,0,0.03
403282#868907#211435,0,0.06
18072#269024#813987,0,0.08
243491#1047275#33067,0,0.18
303378#959180#121162,0,0.07
492071#947053#133289,0,0.08
463285#1015690#64652,1,0.95
173496#87171#1018090,0,0.04
217326#265806#817192,1,0.68
149636#193442#894806,0,0.21
335150#98514#989254,1,0.97
550207#397125#682776,0,0.07
320351#1007793#72549,0,0.11
224184#744134#336208,1,0.98
487249#707679#372663,1,0.99
208264#225494#857315,1,0.99
121521#233502#849330,0,0.46
266626#335538#745047,1,0.95
572268#729618#350724,0,0.17
311467#24664#1012296,0,0.01
6992#163516#924605,0,0.08
376166#846347#233995,0,0.1
17711#738236#342106,0,0.04
150303#181208#906925,1,1.0
293451#110826#976981,0,0.1
498117#259881#823100,0,0.03
105634#830003#250339,0,0.29
445067#409210#670715,1,0.13
111533#597178#483164,0,0.2
208171#572197#508145,0,0.18
110245#519934#560408,1,0.61
169631#472996#607346,1,0.97
594391#1079305#1037,1,0.86
622478#208327#874382,0,0.45
559804#60709#1044268,0,0.17
164527#215910#866856,1,1.0
617521#662377#417965,0,0.26
165810#752843#327499,0,0.04
116824#202228#883008,1,0.69
565489#695006#385336,0,0.14
128270#788942#291400,1,0.97
170871#90060#1015263,0,0.11
397046#412616#667299,0,0.3
489918#622701#457641,1,0.98
555533#898835#181507,0,0.16
581882#401304#678609,0,0.11
371486#426573#653407,0,0.37
137450#806155#274187,1,0.35
493546#42934#1061878,0,0.21
67621#10274#1004819,0,0.07
129635#207234#875449,0,0.49
493703#346832#733880,0,0.13
510769#347493#733228,1,1.0
68201#697744#382598,1,0.99
186607#424643#655337,1,0.96
146236#170860#917277,1,1.0
120383#698699#381643,1,0.99
98890#307473#775651,1,0.2
391211#315767#767373,0,0.2
75014#686200#394142,0,0.35
460221#663583#416759,0,0.17
452754#506219#574123,1,0.96
129518#750492#329850,1,0.09
58088#735986#344356,1,1.0
214125#510195#570147,1,0.97
153018#95841#991935,0,0.2
596767#661145#419197,0,0.36
11860#244785#838211,1,1.0
22883#1071777#8565,0,0.09
78706#830094#250248,1,1.0
562394#695993#384349,0,0.1
125708#793040#287302,0,0.24
542428#572160#508182,1,0.4
100412#642708#437634,0,0.05
22438#151787#936318,1,0.98
580692#177890#910226,0,0.21
541612#367769#712093,0,0.14
303753#962388#117954,1,0.97
271801#553861#526481,1,0.76
117347#420944#659045,1,0.91
569971#565878#514464,0,0.15
300447#533266#547076,0,0.18
557578#102351#985420,0,0.14
515323#903604#176738,1,0.94
265821#604057#476285,0,0.05
159376#845997#234345,1,1.0
555807#966975#113367,1,1.0
408025#721278#359064,0,0.04
380507#348240#732499,1,1.0
318370#372488#707367,1,0.94
499598#885396#194946,0,0.01
144712#424682#655297,1,0.07
453537#56765#1048181,1,0.98
180635#475666#604676,0,0.49
325024#309882#773250,1,0.2
581421#724820#355522,0,0.81
563013#508473#571869,1,0.96
132188#10700#997945,1,0.95
311492#30713#1010350,0,0.02
499074#349548#731209,1,1.0
405953#100350#987425,0,0.14
401956#956134#124208,1,0.96
556354#1046766#33576,0,0.03
48663#19384#1072110,1,0.91
70609#280775#802269,0,0.16
3311#833156#247186,1,0.99
614059#63390#1041606,0,0.06
40127#756666#323676,0,0.0
123074#813177#267165,0,0.12
622260#846101#234241,1,0.28
629241#632091#448251,1,1.0
426020#1063846#16496,0,0.54
10857#700489#379853,1,0.96
632934#298634#784471,0,0.19
101590#700170#380172,1,0.84
302120#530766#549576,1,0.3
144255#871167#209175,1,1.0
380216#1011395#68947,0,0.31
201348#265425#817567,0,0.22
279654#903518#176824,1,0.98
585455#25907#1000244,0,0.03
592472#144673#943428,0,0.17
541339#193696#894555,1,1.0
513218#679071#401271,0,0.16
336519#792606#287736,1,1.0
171240#1019743#60599,0,0.22
339177#414215#665710,1,0.99
413493#12482#1011807,0,0.12
450421#430150#649852,1,0.97
446867#51720#1053222,0,0.11
452081#891497#188845,0,0.04
27716#1002380#77962,0,0.07
379057#564066#516276,1,1.0
115512#786784#293558,0,0.19
467086#209361#873367,0,0.07
540747#574636#505706,1,0.2
90124#236327#846597,0,0.14
101501#22109#1012130,1,0.97
127203#275334#807693,0,0.52
83246#787566#292776,1,0.39
360699#1051123#29219,0,0.11
277237#794442#285900,1,0.17
127453#1120#877083,0,0.11
307294#31516#876853,1,0.31
372701#281454#801595,1,0.19
275863#215352#867404,0,0.26
316194#4033#1010032,0,0.01
278964#518#1076255,0,0.07
204403#450646#629726,0,0.01
584503#905405#174937,0,0.03
234492#8742#1075087,1,0.98
263026#982946#97396,0,0.23
311774#32161#877393,0,0.13
225487#735934#344408,1,0.95
8246#868460#211882,0,0.05
412272#408447#671469,0,0.33
530437#316454#766687,1,0.99
71618#648381#431961,1,0.51
150204#5178#1002881,1,0.99
593450#406685#673237,1,0.86
319341#60241#1044737,1,1.0
13310#899464#180878,0,0.08
145891#769735#310607,0,0.18
257111#594365#485977,0,0.29
211108#264081#818910,1,1.0
97035#671250#409092,0,0.21
450278#120512#967310,0,0.76
428114#56988#1047967,1,1.0
47771#423096#656889,0,0.52
491398#628225#452117,1,0.96
394528#512000#568342,0,0.17
306754#30707#1014325,0,0.0
131040#741533#338809,1,1.0
355843#357063#722803,0,0.05
520850#475628#604714,1,1.0
419252#11728#1076452,0,0.02
306543#523863#556479,0,0.15
308247#21594#884050,0,0.06
486772#707362#372980,1,0.98
6602#570588#509754,0,0.06
130626#113594#974221,1,0.26
252863#422736#657247,1,1.0
379366#517219#563123,0,0.23
593156#734961#345381,0,0.37
411535#989175#91167,1,0.98
281056#877145#203197,0,0.01
62583#1031678#48664,0,0.07
568183#330628#750081,1,0.99
364574#105939#981840,1,1.0
410686#592136#488206,1,0.23
308898#29690#728782,0,0.06
511773#324356#758770,0,0.04
174876#821739#258603,1,0.99
282581#969294#111048,1,0.96
462073#636599#443743,1,0.1
372226#469493#610849,0,0.07
419893#801424#278918,1,1.0
197740#286307#796753,0,0.23
473363#27606#754491,0,0.02
592074#528962#551380,0,0.2
272890#141779#946322,1,0.99
478064#1022806#57536,0,0.28
48412#851134#229208,1,0.23
224904#178977#909146,0,0.41
160719#754305#326037,1,0.42
88154#115258#972562,1,1.0
235645#624488#455854,0,0.2
608719#447373#632974,0,0.11
316183#730900#349442,1,0.89
372042#976494#103848,1,0.97
313106#25921#884229,0,0.13
544289#67476#1037562,1,0.96
158551#1072061#8281,0,0.06
288539#680764#399578,1,0.16
587323#895405#184937,0,0.07
243759#588482#491860,0,0.23
101415#363818#716032,1,0.88
239964#599246#481096,1,0.97
360029#323120#760011,0,0.13
270848#546760#533582,1,0.07
483139#472769#607573,0,0.0
492914#833416#246926,1,1.0
186896#393646#686262,1,0.99
570599#791336#289006,0,0.37
439270#343104#737559,1,1.0
49263#166536#921585,1,0.95
622386#90348#1014981,1,1.0
252359#611879#468463,0,0.15
28289#236138#846775,0,0.17
195145#946753#133589,1,1.0
456897#709863#370479,0,0.24
231032#897671#182671,0,0.05
342725#628973#451369,0,0.08
189493#300356#782754,0,0.17
42591#1023847#56495,1,0.17
500667#993022#87320,1,0.33
506148#874079#206263,0,0.12
22601#873350#206992,1,0.99
383073#419322#660669,0,0.14
373618#958063#122279,0,0.11
618974#128244#959607,0,0.1
282457#485559#594783,1,0.2
63474#176876#911230,0,0.09
444697#597183#483159,1,0.97
74258#1037810#42532,0,0.09
318631#758400#321942,0,0.4
56197#614308#466034,0,0.03
56197#444745#635586,0,0.13
99868#406909#673014,1,0.91
234439#322209#760931,1,1.0
451246#257965#825021,0,0.25
453314#426805#653178,0,0.11
385086#890440#189902,0,0.03
161040#561392#518950,1,0.98
271371#829915#250427,0,0.17
375330#374966#704883,1,0.22
101066#1032042#48300,0,0.28
347213#476071#604271,0,0.08
603823#156643#931459,1,0.98
105802#137016#951089,0,0.14
248066#770213#310129,0,0.07
4923#825647#254695,1,0.93
415142#793232#287110,0,0.07
187314#530229#550113,1,0.98
609710#200219#888049,1,0.96
433801#846172#234170,1,1.0
306900#6065#749940,0,0.15
353795#99635#988147,1,0.96
178598#607169#473173,1,0.39
250793#602815#477527,1,0.98
185250#355967#723895,0,0.14
265584#446288#634050,1,0.89
417502#942754#137588,1,1.0
566911#739447#340895,1,0.99
462158#636954#443388,0,0.02
481649#697686#382656,0,0.11
221529#274064#808954,0,0.1
543804#1049801#30541,0,0.21
419460#517061#563281,0,0.22
256663#987694#92648,0,0.38
154466#371909#707942,0,0.08
376297#171929#916196,0,0.19
157574#193800#894451,1,0.99
537784#851262#229080,1,0.56
626230#952212#128130,1,1.0
309018#28890#883400,0,0.02
115542#378296#701561,1,0.98
394289#418644#661353,1,0.99
34021#337998#742634,1,0.99
7362#316197#766944,0,0.37
83724#241856#841163,0,0.06
471269#141508#946592,0,0.05
227777#549335#531007,1,0.48
366538#259709#823277,1,0.92
542107#337355#743256,0,0.07
227039#854773#225569,1,1.0
71757#394011#685897,1,0.84
539008#471778#608564,1,0.98
313651#26258#886130,0,0.18
290949#971311#109031,1,0.99
188079#495125#585217,1,0.97
161273#93316#994452,1,1.0
452107#344759#735919,0,0.02
177349#867844#212498,0,0.08
604719#798768#281574,0,0.15
351644#279330#803713,0,0.12
553769#1032208#48134,0,0.19
248692#676066#404276,1,1.0
72787#1027534#52808,0,0.16
514680#771002#309340,0,0.04
368234#971142#109200,0,0.18
48823#180074#908048,1,1.0
214964#347249#733464,0,0.46
215553#686566#393776,1,0.99
29252#751632#328710,1,0.64
244986#696377#383965,1,1.0
296009#649564#430778,1,1.0
417037#423725#656258,1,1.0
129754#137573#950536,0,0.42
552045#346214#734491,1,0.1
189615#996089#84253,0,0.05
43822#651176#429166,0,0.02
583916#194342#893912,1,1.0
303579#318298#764838,0,0.04
426755#830155#250187,1,0.27
326325#356972#722893,1,1.0
333750#870865#209477,0,0.24
192705#471770#608572,1,0.71
227816#809742#270600,1,0.46
291077#959573#120769,1,1.0
429723#175503#912596,1,0.9
301193#136504#951596,1,0.98
337646#405447#674477,1,0.25
250520#725623#354719,1,0.85
240865#300596#782517,0,0.26
515543#981011#99331,0,0.18
432232#1054008#26334,1,1.0
297817#396405#683505,1,0.99
192238#1010276#70066,1,0.71
88414#350126#730634,0,0.19
31789#809693#270649,1,0.27
626952#106329#981454,0,0.39
345365#390691#689210,0,0.01
71496#266931#816078,0,0.11
14072#846398#233944,1,0.98
549463#448459#631897,0,0.02
490923#49477#1055356,0,0.0
479398#745680#334662,0,0.14
393943#75322#1029739,0,0.1
464246#276147#841801,0,0.1
332604#644772#435570,0,0.3
344389#16511#1077376,0,0.08
607190#673875#406467,1,0.27
136920#529810#550532,0,0.16
525626#470215#610127,0,0.01
325355#758710#321632,1,0.99
15196#695007#385335,0,0.42
142730#543605#536737,0,0.07
517290#868725#211617,1,0.99
112343#24180#1010128,1,0.88
33745#1025683#54659,1,0.99
629857#963900#116442,1,0.96
126956#681296#399046,1,1.0
413705#346866#733843,0,0.13
574316#869398#210944,0,0.14
360209#67212#1037823,0,0.03
426668#574443#505899,0,0.58
230043#1063553#16789,0,0.68
436632#564539#515803,0,0.2
21815#22889#1012663,0,0.07
618877#1068843#11499,1,0.61
270523#553439#526903,0,0.28
494820#148599#939496,0,0.21
497479#475934#604408,0,0.2
589992#590114#490228,1,0.08
41370#302004#781109,0,0.28
405369#263170#819819,1,1.0
40006#206864#875801,1,1.0
134196#307521#775602,1,0.22
315919#9967#1004948,0,0.17
352069#66899#1038129,1,0.99
357350#18045#1078413,0,0.11
14592#521683#558659,0,0.16
86536#185418#902727,0,0.22
572320#43856#1060964,1,1.0
347092#902341#178001,0,0.13
615412#213379#869376,1,1.0
308180#20513#1077944,0,0.03
394543#253134#829872,1,1.0
111737#171230#916906,1,1.0
443901#631420#448922,1,0.94
64080#205929#879340,1,0.97
208479#145295#942803,1,0.99
346279#315727#767413,0,0.1
571008#302145#780968,0,0.1
427153#466530#613812,1,0.21
140533#2902#1076563,1,1.0
215513#1023518#56824,1,0.68
592023#98013#989751,1,0.99
598525#784818#295524,1,0.28
151865#384754#695104,1,1.0
373700#357787#722076,1,1.0
13490#694976#385366,0,0.16
236335#139646#948458,0,0.0
215892#658877#421465,0,0.79
220704#1070497#9845,0,0.16
232156#1061159#19183,1,0.42
274732#206534#878754,1,0.96
228843#758616#321726,0,0.3
465021#482191#598151,1,0.09
312915#27719#752704,1,0.83
564610#196557#891701,1,0.99
554101#1035313#45029,1,1.0
359880#755052#325290,1,0.98
392340#869381#210961,0,0.15
228291#991256#89086,0,0.06
255139#981395#98947,1,0.98
383304#312164#770984,0,0.16
103112#442782#637523,0,0.12
277785#1009900#70442,0,0.43
31719#824622#255720,0,0.16
419741#57402#1051710,0,0.2
599015#1063933#16409,0,0.13
374247#855246#225096,1,0.67
6640#2019#1077145,0,0.22
29775#441948#638363,1,0.96
414255#886251#194091,1,0.28
442334#246450#836547,0,0.53
362310#756876#323466,0,0.04
219568#247754#835248,0,0.21
237717#877614#202728,1,1.0
151812#1061965#18377,0,0.24
175375#576636#503706,0,0.09
141958#842562#237780,0,0.04
19008#708846#371496,0,0.33
99789#325021#758109,0,0.08
297044#666773#413569,1,0.47
629238#731403#348939,0,0.07
392364#385671#694181,0,0.19
113866#753783#326559,0,0.34
415304#161819#926285,0,0.16
182530#596989#483353,0,0.2
234548#27631#752281,1,0.75
241280#1009012#71330,0,0.25
181998#962753#117589,1,0.99
118890#470858#609484,1,1.0
393342#58748#1040672,0,0.26
229341#368147#711715,0,0.18
203660#91614#996151,0,0.13
204403#180369#907755,0,0.04
212039#91437#996326,0,0.31
360498#425765#654210,0,0.13
391495#572887#507455,0,0.25
166987#879092#201250,0,0.05
287967#35591#1069460,0,0.07
145932#390922#688986,0,0.26
237534#785568#294774,1,0.99
85641#339019#741627,1,0.88
473446#824433#255909,1,0.59
226919#347190#733522,1,0.99
201157#227419#855408,0,0.16
83605#869912#210430,0,0.21
14089#330329#750373,1,0.8
18077#540167#540175,0,0.98
316581#2606#1004777,0,0.02
188609#82949#1022301,1,0.9
168216#360676#719187,1,0.23
263630#814310#266032,0,0.22
483321#606824#473518,0,0.06
557967#233606#849223,1,1.0
390191#260275#822705,1,1.0
399744#838434#241908,1,0.98
135069#820408#259934,1,1.0
618079#393016#686891,0,0.13
446720#546741#533601,0,0.15
300237#396333#683578,1,1.0
122636#502083#578259,0,0.08
115648#102616#985159,1,0.98
219472#735793#344549,0,0.28
617655#273823#809192,1,0.97
542705#36465#1068589,0,0.3
130009#127073#960765,0,0.02
256302#515800#564542,1,0.98
246175#299211#783887,1,0.9
67398#462270#618066,0,0.11
514408#157581#930519,0,0.18
180874#291917#791140,0,0.18
624903#797413#282929,0,0.16
409245#269483#813526,0,0.13
450966#421343#658646,0,0.12
148877#301969#781145,1,1.0
57510#547215#533127,0,0.12
359066#562708#517634,0,0.3
620980#879664#200678,1,0.98
48234#327430#755698,1,0.71
286791#979224#101118,0,0.2
556056#802854#277488,1,0.99
276912#206990#875679,1,0.25
388783#360548#719314,1,0.72
392041#197035#891224,1,1.0
613579#294600#788493,1,0.97
420016#1065711#14631,0,0.25
74233#738087#342255,0,0.14
596134#658571#421771,1,0.99
299903#972315#108027,0,0.19
315013#807935#272407,0,0.23
252225#455330#625008,0,0.13
556305#367467#712395,1,0.9
608253#194051#894201,1,1.0
790#315998#767142,0,0.06
106998#579240#501102,1,0.96
257642#612476#467866,1,0.99
246451#640882#439460,0,0.29
321046#811731#268611,1,0.99
286198#275925#807104,0,0.04
208285#296403#786701,1,0.13
9291#143267#944836,0,0.11
623412#455119#625222,1,1.0
624776#160404#927699,1,0.99
143312#533544#546798,0,0.04
554970#209768#872968,1,1.0
140550#950379#129963,1,0.97
557253#283527#799527,0,0.54
482226#867872#212470,0,0.2
74233#738077#342265,0,0.16
526388#487382#592960,1,0.24
574372#520188#560154,0,0.37
450566#550826#529516,1,0.99
488377#141883#946219,1,1.0
202890#968950#111392,0,0.11
106058#486047#594295,1,0.98
10253#478868#601474,0,0.05
473236#421569#658420,1,0.98
414807#978870#101472,0,0.05
366947#985805#94537,1,1.0
234768#551362#528980,0,0.05
509342#187383#900772,1,0.91
114000#421442#658547,0,0.07
484048#702363#377979,0,0.04
492907#561593#518749,0,0.39
56319#955663#124679,0,0.2
285417#2167#876332,0,0.14
105772#688367#391975,1,0.63
99506#258871#824120,1,0.99
341956#171280#916853,0,0.07
339114#481561#598781,0,0.32
268475#807997#272345,0,0.08
344550#478323#602019,1,0.13
151478#262233#820749,0,0.15
437152#320037#763113,1,0.96
238481#127662#960185,1,0.29
197271#39366#1064687,1,0.84
251245#255141#827847,0,0.33
13832#639954#440388,0,0.18
411616#340825#739819,0,0.72
597629#704842#375500,1,1.0
